番号,section,単語,意味
1,section1,improve,を向上させる；よくなる
2,section1,relate,を（...と）関連づける；（...に）関連する
3,section1,provide,を供給する（≒supply）
4,section1,consider,を見なす；について考える
5,section1,include,を含む
6,section1,concern,（受身形で）（...を）心配する；（...に）関係する；に関連する
7,section1,involve,を関与させる；を伴う
8,section1,produce,を生産する；を取り出す
9,section1,allow,を許す；を与える；（...を）考慮に入れる
10,section1,require,を要求する；を必要とする
11,section1,appear,...のように見える；現れる
12,section1,tend,傾向がある；を世話する
13,section1,agree,意見が一致する；同意する
14,section1,describe,について述べる
15,section1,add,を（...に）加える
16,section1,depend,頼る；...次第である
17,section1,encourage,を励ます
18,section1,exist,存在する；生存する
19,section1,reduce,を減らす；を（...に）変える
20,section1,adapt,適応する；を（...に）適合させる
21,section1,compare,を比較する；を（...に）例える
22,section1,increase,増加する；を増やす
23,section1,suggest,を提案する；を暗示する
24,section1,cost,（費用）がかかる；を犠牲にさせる
25,section1,share,を共有する；を分担する
26,section1,wonder,かなと思う；（...に）驚嘆する
27,section1,argue,と主張する（≒claim，maintain）；議論する
28,section1,realize,に気づく；を実現する
29,section1,control,を管理する；を制御する
30,section1,affect,に影響を及ぼす（≒influence）；を感動させる
31,section1,find,とわかる；を見つける
32,section1,notice,に気づく
33,section1,avoid,を避ける
34,section1,force,に強いる；を強要する
35,section1,offer,を提供する，申し出る
36,section1,demand,を要求する
37,section1,claim,と主張する；を自分のものだと主張する
38,section1,deal,を処理する
39,section1,store,を保存する；を蓄える
40,section1,complete,を完成させる
41,section1,value,価値；価格；評価；価値観
42,section1,benefit,利益，恩恵；給付金
43,section1,opportunity,機会（≒chance）
44,section1,quality,質；特質
45,section1,author,著者；張本人
46,section1,technology,科学技術；応用技術
47,section1,environment,環境（≒surroundings）
48,section1,view,見解；眺め
49,section1,situation,状況；（人の置かれた）立場
50,section1,effect,影響，効果；結果
51,section1,influence,影響（力）
52,section1,term,（専門）用語；条件；間柄；学期
53,section1,skill,技能；熟練
54,section1,theory,理論，学説；原理；推測
55,section1,issue,問題（点）；発行（物）；発表
56,section1,subject,話題；学科；主題；被験者
57,section1,article,記事；条項；品物
58,section1,statement,主張；声明；明細書
59,section1,experiment,実験
